540,0.4,0.1,0.00025125,0.10714,1.1365e-06,1.4706,0.00025251,-1.5363,3.4151e-06
1740,0.8,0.2,0.00025495,0.34524,2.0069e-06,1.3694,0.00026021,-1.4465,1.2171e-05
2740,1.24,0.31,0.00026174,0.54365,2.9168e-06,1.2556,0.0002753,-1.3296,2.2942e-05
3340,1.64,0.41,0.0002702,0.6627,3.4865e-06,1.1483,0.00029624,-1.2108,3.2615e-05
3640,1.96,0.49,0.0002784,0.72222,3.7749e-06,1.0587,0.00031937,-1.1227,3.8629e-05
3940,2.4,0.6,0.00029155,0.78175,4.0649e-06,0.9273,0.00036443,-1.0017,4.4909e-05
4140,2.72,0.68,0.00030232,0.82143,4.2591e-06,0.82303,0.00041233,-0.89408,4.8301e-05
4340,3.04,0.76,0.00031401,0.86111,4.4537e-06,0.70748,0.00048314,-0.75697,4.9387e-05
4540,3.44,0.86,0.00032973,0.90079,4.6488e-06,0.53553,0.00064617,-0.58333,4.5487e-05
4740,3.76,0.94,0.00034311,0.94048,4.8443e-06,0.34817,0.0010057,-0.37074,3.3425e-05
5040,4,1,0.00035355,1,5.1382e-06,0,Inf,-0.0037519,1.298e-06
5340,3.76,0.94,0.00034311,1.0595,5.4328e-06,0.34817,0.0010057,0.34459,3.147e-05
5440,3.56,0.89,0.00033467,1.0794,5.5311e-06,0.47345,0.000734,0.44384,3.8374e-05
5740,3.16,0.79,0.0003186,1.1389,5.8265e-06,0.65999,0.00051965,0.6831,4.8434e-05
6040,2.72,0.68,0.00030232,1.1984,6.1222e-06,0.82303,0.00041233,0.84944,4.9058e-05
6340,2.4,0.6,0.00029155,1.2579,6.4184e-06,0.9273,0.00036443,0.96619,4.6264e-05
6840,1.96,0.49,0.0002784,1.3571,6.9127e-06,1.0587,0.00031937,1.0949,4.0282e-05
7640,1.64,0.41,0.0002702,1.5159,7.7052e-06,1.1483,0.00029624,1.2136,3.2404e-05
9040,1.24,0.31,0.00026174,1.7937,9.0951e-06,1.2556,0.0002753,1.3179,2.396e-05
13340,0.8,0.2,0.00025495,2.6468,1.3377e-05,1.3694,0.00026021,1.431,1.365e-05
20940,0.56,0.14,0.00025244,4.1548,2.0964e-05,1.4303,0.00025495,1.4894,8.0152e-06
