540,0.4,0.1,0.0025125,0.10714,1.9955e-07,1.4706,0.0025251,-1.5363,3.4151e-06
1740,0.8,0.2,0.0025495,0.34524,2.099e-07,1.3694,0.0026021,-1.4465,1.2171e-05
2740,1.24,0.31,0.0026174,0.54365,2.2584e-07,1.2556,0.002753,-1.3296,2.2942e-05
3340,1.64,0.41,0.002702,0.6627,2.3803e-07,1.1483,0.0029624,-1.2108,3.2615e-05
3640,1.96,0.49,0.002784,0.72222,2.4475e-07,1.0587,0.0031937,-1.1227,3.8629e-05
3940,2.4,0.6,0.0029155,0.78175,2.5185e-07,0.9273,0.0036443,-1.0017,4.4909e-05
4140,2.72,0.68,0.0030232,0.82143,2.5677e-07,0.82303,0.0041233,-0.89408,4.8301e-05
4340,3.04,0.76,0.0031401,0.86111,2.6184e-07,0.70748,0.0048314,-0.75697,4.9387e-05
4540,3.44,0.86,0.0032973,0.90079,2.6704e-07,0.53553,0.0064617,-0.58333,4.5487e-05
4740,3.76,0.94,0.0034311,0.94048,2.7237e-07,0.34817,0.010057,-0.37074,3.3425e-05
5040,4,1,0.0035355,1,2.806e-07,0,Inf,-0.0037519,1.298e-06
5340,3.76,0.94,0.0034311,1.0595,2.8907e-07,0.34817,0.010057,0.34459,3.147e-05
5440,3.56,0.89,0.0033467,1.0794,2.9195e-07,0.47345,0.00734,0.44384,3.8374e-05
5740,3.16,0.79,0.003186,1.1389,3.0072e-07,0.65999,0.0051965,0.6831,4.8434e-05
6040,2.72,0.68,0.0030232,1.1984,3.0969e-07,0.82303,0.0041233,0.84944,4.9058e-05
6340,2.4,0.6,0.0029155,1.2579,3.1885e-07,0.9273,0.0036443,0.96619,4.6264e-05
6840,1.96,0.49,0.002784,1.3571,3.3448e-07,1.0587,0.0031937,1.0949,4.0282e-05
7640,1.64,0.41,0.002702,1.5159,3.6032e-07,1.1483,0.0029624,1.2136,3.2404e-05
9040,1.24,0.31,0.0026174,1.7937,4.0746e-07,1.2556,0.002753,1.3179,2.396e-05
13340,0.8,0.2,0.0025495,2.6468,5.614e-07,1.3694,0.0026021,1.431,1.365e-05
20940,0.56,0.14,0.0025244,4.1548,8.479e-07,1.4303,0.0025495,1.4894,8.0152e-06
